AX05,20040102,20040212
AX09,20040213,20040707
AX11,20040708,20040903
AY01,20040906,20041115
AY05,20041116,20050304
AY09,20050307,20050705
AY11,20050706,20050722
AX01,20050725,20051024
AX05,20051025,20060213
AX09,20060214,20060814
AY01,20060815,20061030
AY05,20061031,20070129
AY09,20070130,20070528
AX01,20070529,20070806
AX05,20070807,20071114
AX09,20071115,20080225
AY01,20080226,20081014
AY05,20081015,20090112
AY09,20090113,20090413
AX01,20090414,20090706
AX05,20090707,20091023
AX09,20091026,20100421
AY01,20100422,20100720
AY05,20100721,20101022
AY09,20101025,20101231
AX01,20110104,20110713
AX05,20110714,20111026
AX09,20111027,20120320
AY01,20120321,20120831
AY05,20120903,20130131
AY09,20130201,20130606
AX01,20130607,20131015
AX05,20131016,20131230
AX09,20131231,20140106
AX05,20140107,20140210
AX09,20140211,20140325
AY01,20140326,20140418
AX09,20140421,20140519
AY01,20140520,20141124
AY05,20141125,20150408
AY09,20150409,20150615
AX01,20150616,20151104
AX05,20151105,20160308
AX09,20160309,20160429
B05,20041222,20050324
B07,20050325,20050407
B05,20050408,20050518
B07,20050519,20050524
B09,20050525,20050921
B01,20050922,20050926
B11,20050927,20050930
B03,20051010,20051010
B01,20051011,20051012
B05,20051013,20051102
B09,20051103,20060911
B11,20060912,20060912
B01,20060913,20060926
B09,20060927,20060927
B03,20060928,20060928
B05,20060929,20061013
B11,20061016,20061016
B09,20061017,20061017
B05,20061018,20070215
B03,20070216,20070216
B09,20070226,20070528
B01,20070529,20070612
B11,20070613,20070613
B05,20070614,20070614
B01,20070615,20070625
B09,20070626,20070709
B05,20070710,20070814
B01,20070815,20070815
B03,20070816,20070816
B05,20070817,20071029
B07,20071030,20071227
B09,20071228,20080709
B01,20080710,20081114
B05,20081117,20090203
B09,20090204,20090311
B05,20090312,20090313
B01,20090316,20090316
B09,20090317,20090513
B03,20090514,20090520
B01,20090521,20090630
B09,20090701,20090813
B05,20090814,20090915
B07,20090916,20090916
B03,20090917,20090917
B05,20090918,20091118
B07,20091119,20091119
B09,20091120,20100524
B01,20100525,20101112
B09,20101115,20110516
B01,20110517,20110616
B05,20110617,20110621
B09,20110622,20110622
B01,20110623,20110713
B05,20110714,20110927
B09,20110928,20120504
B01,20120507,20120507
B03,20120508,20120510
B09,20120511,20120907
B01,20120910,20121026
B05,20121029,20121127
B01,20121128,20121206
B05,20121207,20130318
B09,20130319,20130321
B01,20130322,20130322
B05,20130325,20130328
B09,20130329,20130910
B01,20130911,20131025
B03,20131028,20131029
B07,20131030,20131030
B05,20131031,20131031
B01,20131101,20131101
B03,20131104,20131112
B07,20131113,20131203
B01,20131204,20131206
B05,20131209,20131209
B07,20131210,20131210
B01,20131211,20131216
B05,20131217,20131217
B09,20131218,20131218
B01,20131219,20131219
B11,20131220,20131220
B07,20131223,20140210
B09,20140211,20140423
B03,20140424,20140424
B01,20140425,20140425
B09,20140428,20140915
B05,20140916,20150408
B09,20150409,20150908
B01,20150909,20150909
B05,20150910,20150910
B11,20150911,20150911
B01,20150914,20150914
B09,20150915,20150915
